Uniprot	Names
Q96IY4	CPB2
Q96J84	KIRREL
Q96JD0	UPTr
Q96JQ0	DCHS1
Q96KG7	MEGF10
Q96KN2	CNDP1
Q96KP4	CNDP2
Q96P44	COL21A1
Q96P63	SERPINB12
Q96RD9	FCRL5
Q96RL7	VPS13A
Q96RW7	HMCN1
Q96T51	RUFY1
Q99424	ACOX2
Q99466	NOTCH4
Q99574	SERPINI1
Q99715	COL12A1
Q99719	SEPT5
Q99719-2	nPvarsplic
Q99952	PTPN18
Q9BQE5	APOL2
Q9BQS7	HEPH
Q9BRK3	MXRA8
Q9BT09	CNPY3
Q9BTY2	FUCA2
Q9BUD6	SPON2
Q9BVM4	GGACT
Q9BWD1	ACAT2
Q9BWM7	SFXN3
Q9BXR6	CFHR5
Q9BY43	CHMP4A
Q9BYT8	NLN
Q9BYX7	POTEKP
Q9BZR6	RTN4R
Q9C075	KRT23
Q9C0A0	CNTNAP4
Q9C0B1	FTO
Q9H0U4	RAB1B
Q9H223	EHD4
Q9H2A7	CXCL16
Q9H3T2	SEMA6C
Q9H3T3	SEMA6B
Q9H3U5	MFSD1
Q9H4A9	DPEP2
Q9H4B8	DPEP3
Q9H4M9	EHD1
Q9H583	HEATR1
Q9H6X2	ANTXR1
Q9H939	PSTPIP2
Q9H993	ARMT1
Q9HCB6	SPON1
Q9HDC9	APMAP
Q9NP72	RAB18
Q9NPF0	CD320
Q9NPG4	PCDH12
Q9NPP6	UPTr
Q9NPR2	SEMA4B
Q9NPY3	CD93
Q9NQ36	SCUBE2
Q9NR16	CD163L1
Q9NRW1	RAB6B
Q9NS15	LTBP3
Q9NSB2	KRT84
Q9NSB4	KRT82
Q9NTJ5	SACM1L
Q9NTU7	CBLN4
Q9NVA2	SEPT11
Q9NXH8	TOR4A
Q9NY65	TUBA8
Q9NY97	B3GNT2
Q9NYF8	BCLAF1
Q9NZ08	ERAP1
Q9NZN3	EHD3
Q9NZN4	EHD2
Q9NZP8	C1RL
Q9NZR2	LRP1B
Q9NZV1	CRIM1
Q9P232	CNTN3
Q9P2M7	CGN
Q9UBN7	HDAC6
Q9UBX1	CTSF
Q9UBX5	FBLN5
Q9UBX7	KLK11
Q9UDT6	CLIP2
Q9UFP1	FAM198A
Q9UGM3	DMBT1
Q9UHD8	SEPT9
Q9UHD9	UBQLN2
Q9UHG2	PCSK1N
Q9UI42	CPA4
Q9UIQ6	LNPEP
Q9UIV8	SERPINB13
Q9UIW2	PLXNA1
Q9UJM8	HAO1
Q9UKX2	MYH2
Q9UL25	RAB21
Q9UL71	UPTr
Q9UL72	UPTr
Q9UL73	UPTr
Q9UL77	UPTr
Q9UL78	UPTr
Q9UL80	UPTr
Q9UL81	UPTr
Q9UL84	UPTr
Q9ULA0	DNPEP
Q9ULB1	NRXN1
Q9ULZ3	PYCARD
Q9UM47	NOTCH3
Q9UP79	ADAMTS8
Q9UPZ6	THSD7A
Q9UQ52	CNTN6
Q9UQM7	CAMK2A
Q9UQP3	TNN
Q9Y210	TRPC6
Q9Y251	HPSE
Q9Y263	PLAA
Q9Y286	SIGLEC7
Q9Y2A7	NCKAP1
Q9Y2J2	EPB41L3
Q9Y2Y8	PRG3
Q9Y336	SIGLEC9
Q9Y3T9	NOC2L
Q9Y490	TLN1
Q9Y4C0	NRXN3
Q9Y4G6	TLN2
Q9Y4L1	HYOU1
Q9Y509	UPTr
Q9Y5C1	ANGPTL3
Q9Y5X9	LIPG
Q9Y5Y6	ST14
Q9Y608	LRRFIP2
Q9Y623	MYH4
Q9Y646	CPQ
Q9Y6E0	STK24
Q9Y6F6	MRVI1
Q9Y6N6	LAMC3
S6AWD3	UPTr
S6AWD6	UPTr
S6AWD9	UPTr
S6AWF0	UPTr
S6B2C3	UPTr
S6BAP0	UPTr
S6BAQ4	UPTr
S6BGD4	UPTr
S6BGE0	UPTr
S6BGE9	UPTr
S6BGF5	UPTr
S6C4Q7	UPTr
S6C4R2	UPTr
S6C4R7	UPTr
S6C4S0	UPTr
S6C4S2	UPTr
V9H1D9	UPTr
V9HW34	UPTr
XP_005268923.1	ref|XP_005268923.1|
XP_006719119.1	ref|XP_006719119.1|
P04118	CLPS
P04155	TFF1
P04156	PRNP
P04179	SOD2
P04181	OAT
P04216	THY1
P04217	A1BG
P04233	CD74
P04271	S100B
P04279	SEMG1
Q02383	SEMG2
P04406	GAPDH
P04424	ASL
P04629	NTRK1
P04632	CAPNS1
P04792	HSPB1
P04839	CYBB
P04843	RPN1
P05019	IGF1
P05026	ATP1B1
P05060	CHGB
P05067	APP
Q06481	APLP2
P05090	APOD
P05106	ITGB3
P05107	ITGB2
P05556	ITGB1
P10599	TXN
P18084	ITGB5
P26010	ITGB7
Q8N9N7	LRRC57
P05109	S100A8
P05121	SERPINE1
P05141	SLC25A5
P12236	SLC25A6
P05160	F13B
P05164	MPO
P05166	PCCB
P05198	EIF2S1
P05386	RPLP1
P05387	RPLP2
P05408	SCG5
P05413	FABP3
P15090	FABP4
P05451	REG1A
P48304	REG1B
P05455	SSB
P05771	PRKCB
P05771-2	nPvarsplic
P17252	PRKCA
Q04759	PRKCQ
Q05655	PRKCD
P06132	UROD
P06213	INSR
P06280	GLA
P06454	PTMA
P06576	ATP5B
P06702	S100A9
P06730	EIF4E
P06733	ENO1
P09104	ENO2
P13929	ENO3
P06734	FCER2
P06744	GPI
P06748	NPM1
P06756	ITGAV
P06858	LPL
P07099	EPHX1
P07108	DBI
P07148	FABP1
P07203	GPX1
P07204	THBD
P07307	ASGR2
P07311	ACYP1
P07339	CTSD
P07355	ANXA2
P07358	C8B
P07360	C8G
P07384	CAPN1
P07476	IVL
P07585	DCN
P21810	BGN
P07602	PSAP
P20701	ITGAL
O60911	CTSV
P07711	CTSL
P07737	PFN1
P07738	BPGM
P07814	EPRS
P07858	CTSB
P07902	GALT
P07910	HNRNPC
P07911	UMOD
P07942	LAMB1
P55268	LAMB2
P07954	FH
Q8NBZ7	UXS1
P07988	SFTPB
P07998	RNASE1
P08069	IGF1R
P08118	MSMB
P08133	ANXA6
P12429	ANXA3
P08138	NGFR
P08174	CD55
Q14258	TRIM25
P08195	SLC3A2
P08236	GUSB
P08246	ELANE
P08311	CTSG
P00325	ADH1B
P00326	ADH1C
P07327	ADH1A
P08319	ADH4
P11766	ADH5
P28332	ADH6
P08397	HMBS
P08473	MME
P08476	INHBA
P08493	MGP
P08514	ITGA2B
P08559	PDHA1
P08567	PLEK
P08571	CD14
Q14392	LRRC32
Q8WUT4	LRRN4
P08574	CYC1
P08575	PTPRC
P08621	SNRNP70
P08648	ITGA5
P08708	RPS17
P08758	ANXA5
P08833	IGFBP1
P08865	RPSA
P09012	SNRPA
P09105	HBQ1
P09110	ACAA1
P09172	DBH
P09211	GSTP1
P09326	CD48
P09382	LGALS1
P09417	QDPR
P09429	HMGB1
P26583	HMGB2
P07741	APRT
P09467	FBP1
P09486	SPARC
P09496	CLTA
P09497	CLTB
P09525	ANXA4
P09601	HMOX1
P09622	DLD
P09668	CTSH
P09669	COX6C
P09874	PARP1
P09936	UCHL1
P09960	LTA4H
P0C7P3	SLFN14
P0C7U0	ELFN1
P0DMM9	SULT1A3
P50225	SULT1A1
P10124	SRGN
P10153	RNASE2
P10155	TROVE2
P10253	GAA
P10301	RRAS
P10451	SPP1
P10606	COX5B
P10636	MAPT
P10644	PRKAR1A
P10645	CHGA
P10646	TFPI
P10720	PF4V1
P10746	UROS
P10768	ESD
P10809	HSPD1
P10909	CLU
Q9NQ76	MEPE
P10912	GHR
P11117	ACP2
P11226	MBL2
P11234	RALB
P11310	ACADM
P11498	PC
P11597	CETP
P11684	SCGB1A1
P11940	PABPC1
P12081	HARS
P12104	FABP2
P12109	COL6A1
P04745	
AMY1A	AMY1C
NX_P04745-1	1
P04746	AMY2A
P12111	COL6A3
P19961	AMY2B
Q8NEU8	APPL2
Q9GZT8	NIF3L1
Q9UKG1	APPL1
P12268	IMPDH2
P12318	FCGR2A
P12644	BMP4
P12821	ACE
P12956	XRCC6
P13010	XRCC5
P13073	COX4I1
P13224	GP1BB
P13284	IFI30
P13473	LAMP2
P13497	BMP1
P13501	CCL5
P13521	SCG2
P13598	ICAM2
P13611	VCAN
P13612	ITGA4
P13639	EEF2
P13686	ACP5
P13693	TPT1
P13716	ALAD
P13727	PRG2
P13798	APEH
P13804	ETFA
P13807	GYS1
P13942	COL11A2
P13987	CD59
P14174	MIF
P14207	FOLR2
P15328	FOLR1
P41439	FOLR3
P14209	CD99
P14317	HCLS1
P14324	FDPS
P14384	CPM
P14406	COX7A2
P14415	ATP1B2
P14543	NID1
P17936	IGFBP3
Q14112	NID2
P14555	PLA2G2A
O75964	ATP5L
P11586	MTHFD1
P14618	PKM
P14618-2	nPvarsplic
P30042	C21orf33
P30613	PKLR
P42785	PRCP
P43490	NAMPT
P49720	PSMB3
Q9UHL4	DPP7
P14735	IDE
Q7RTW8	OTOA
P14770	GP9
P14778	IL1R1
P14854	COX6B1
P14868	DARS
P15104	GLUL
P15151	PVR
A8TX70	COL6A5
O60476	MAN1A2
O75976	CPD
P0DMV8	HSPA1A
P11021	HSPA5
P11142	HSPA8
P15169	CPN1
P16870	CPE
P33176	KIF5B
P33908	MAN1A1
P34931	HSPA1L
P38646	HSPA9
P54652	HSPA2
Q6P1N9	TATDN1
Q96S96	PEBP4
Q9NR34	MAN1C1
Q9NY15	STAB1
P15170	GSPT1
P15291	B4GALT1
P15309	ACPP
P15374	UCHL3
P15498	VAV1
P15502	ELN
P15509	CSF2RA
P15531	NME1
P15559	NQO1
P15586	GNS
P15907	ST6GAL1
O15118	NPC1
P15924	DSP
P15941	MUC1
P16035	TIMP2
P16070	CD44
P16083	NQO2
P16112	ACAN
P16152	CBR1
O00410	IPO5
P05023	ATP1A1
P16157	ANK1
P16615	ATP2A2
P20648	ATP4A
Q93084	ATP2A3
P16219	ACADS
P16233	PNLIP
P54315	PNLIPRP1
P54317	PNLIPRP2
P16284	PECAM1
P16401	HIST1H1B
P16403	HIST1H1C
P16422	EPCAM
P16435	POR
P16442	ABO
P16444	DPEP1
P16871	IL7R
P16949	STMN1
P17050	NAGA
P17096	HMGA1
P17181	IFNAR1
P17301	ITGA2
P17643	TYRP1
P17655	CAPN2
O00571	DDX3X
P17844	DDX5
Q92841	DDX17
P17900	GM2A
P17931	LGALS3
P17980	PSMC3
P18031	PTPN1
P18054	ALOX12
P18065	IGFBP2
P18085	ARF4
P84085	ARF5
Q8WZA0	LZIC
P18124	RPL7
P18428	LBP
P18621	RPL17
P18627	LAG3
P18827	SDC1
P18850	ATF6
P18859	ATP5J
P19021	PAM
P19237	TNNI1
P19256	CD58
P19338	NCL
P19367	HK1
P52790	HK3
P19404	NDUFV2
P19429	TNNI3
P19438	TNFRSF1A
P19440	GGT1
P19634	SLC9A1
P19801	AOC1
P19883	FST
P19957	PI3
P19971	TYMP
P20023	CR2
P20061	TCN1
P20062	TCN2
P20073	ANXA7
P20160	AZU1
P20273	CD22
P20290	BTF3
P20333	TNFRSF1B
P20618	PSMB1
P20645	M6PR
P20674	COX5A
P20711	DDC
P20774	OGN
P20810	CAST
P20827	EFNA1
P20851	C4BPB
P20929	NEB
P20933	AGA
P20936	RASA1
P20962	PTMS
P21246	PTN
P21266	GSTM3
P28161	GSTM2
Q03013	GSTM4
P21281	ATP6V1B2
P21283	ATP6V1C1
P21291	CSRP1
P50461	CSRP3
P21399	ACO1
Q9UGT4	SUSD2
P21549	AGXT
P21583	KITLG
P21589	NT5E
P21695	GPD1
P21741	MDK
P21757	MSR1
P21796	VDAC1
Q9Y277	VDAC3
P21860	ERBB3
P21926	CD9
P21964	COMT
P22004	BMP6
P22033	MUT
P22059	OSBP
P22061	PCMT1
P22087	FBL
P22102	GART
P22234	PAICS
P22304	IDS
P22307	SCP2
P22314	UBA1
P22352	GPX3
P09651	HNRNPA1
P22626	HNRNPA2B1
P51991	HNRNPA3
P22676	CALB2
P22692	IGFBP4
P17612	PRKACA
P22694	PRKACB
P22695	UQCRC2
P22735	TGM1
P22748	CA4
P22891	PROZ
P22894	MMP8
P22897	MRC1
O00748	CES2
P23141	CES1
Q6UWW8	CES3
O95359	TACC2
P23219	PTGS1
P23246	SFPQ
P23280	CA6
P23297	S100A1
P23327	HRC
P23368	ME2
P48163	ME1
P23378	GLDC
P23381	WARS
P23396	RPS3
P23434	GCSH
P23467	PTPRB
P23467-3	nPvarsplic
P23470	PTPRG
P23471	PTPRZ1
P23526	AHCY
P23528	CFL1
P60981	DSTN
Q9Y281	CFL2
P23588	EIF4B
P23610	
F8A1	F8A3
NX_P23610-1	VIII
intron	protein
P23634	ATP2B4
P23786	CPT2
P23921	RRM1
P24158	PRTN3
P24298	GPT
P24387	CRHBP
P24394	IL4R
P24534	EEF1B2
P24539	ATP5F1
P24557	TBXAS1
P24592	IGFBP6
P24593	IGFBP5
P24666	ACP1
P24752	ACAT1
P24821	TNC
P10916	MYL2
P19105	MYL12A
P24844	MYL9
P24855	DNASE1
P25205	MCM3
IPI00871622	IPI:IPI00871622.2|SWISS-PROT:A8MT79
P25311	AZGP1
P25325	MPST
P25398	RPS12
P25445	FAS
P25685	DNAJB1
P25774	CTSS
P25786	PSMA1
P25788	PSMA3
P25815	S100P
P25942	CD40
P26006	ITGA3
P26022	PTX3
P26373	RPL13
P26440	IVD
P26447	S100A4
P26572	MGAT1
P26599	PTBP1
P26639	TARS
P26640	VARS
P26641	EEF1G
P26718	KLRK1
P26842	CD27
P26885	FKBP2
P26992	CNTFR
P27105	STOM
P27144	AK4
P27338	MAOB
P27487	DPP4
P27635	RPL10
P27694	RPA1
P27695	APEX1
P27797	CALR
P27816	MAP4
P27824	CANX
P27918	CFP
P28065	PSMB9
P28066	PSMA5
P28070	PSMB4
P28072	PSMB6
P28062	PSMB8
P28074	PSMB5
P28300	LOX
P28331	NDUFS1
P28676	GCA
P28799	GRN
P28838	LAP3
P28845	HSD11B1
P28906	CD34
P29017	CD1C
P29034	S100A2
P29144	TPP2
P29218	IMPA1
P29279	CTGF
P29350	PTPN6
P29401	TKT
P29692	EEF1D
P29966	MARCKS
P29972	AQP1
P30038	ALDH4A1
P30040	ERP29
P30041	PRDX6
P30043	BLVRB
P30044	PRDX5
P30047	GCHFR
P30049	ATP5D
P30050	RPL12
P30084	ECHS1
P30086	PEBP1
P30153	PPP2R1A
P30273	FCER1G
P30519	HMOX2
P30520	ADSS
Q8N142	ADSSL1
P30566	ADSL
P30626	SRI
P30711	GSTT1
P30990	NTS
P31025	LCN1
P31040	SDHA
P31150	GDI1
P50395	GDI2
P31151	S100A7
P31153	MAT2A
Q00266	MAT1A
P13861	PRKAR2A
P31323	PRKAR2B
P31431	SDC4
P31689	DNAJA1
P31785	IL2RG
P31930	UQCRC1
P31937	HIBADH
P31942	HNRNPH3
P31944	CASP14
P31949	S100A11
P32320	CDA
P32321	DCTD
P32754	HPD
P32929	CTH
P32969	
RPL9	RPL9P8
RPL9P9	60S
ribosomal	L9
P33151	CDH5
P33241	LSP1
P33764	S100A3
P34949	MPI
P35052	GPC1
P35221	CTNNA1
P35232	PHB
P35247	SFTPD
P35268	RPL22
P35270	SPR
P35318	ADM
P35475	IDUA
P0DJI8	SAA1
P0DJI9	SAA2
P35542	SAA4
P35573	AGL
P35590	TIE1
P35606	COPB2
P35611	ADD1
P35612	ADD2
P35613	BSG
P35754	GLRX
P35813	PPM1A
P35914	HMGCL
P35998	PSMC2
P36222	CHI3L1
P36269	GGT5
P36542	ATP5C1
P36543	ATP6V1E1
P36551	CPOX
P36578	RPL4
P36776	LONP1
P36871	PGM1
P36915	GNL1
P36957	DLST
P36959	GMPR
Q9P2T1	GMPR2
P36969	GPX4
P37108	SRP14
P37173	TGFBR2
P37235	HPCAL1
P37802	TAGLN2
Q15417	CNN3
Q99439	CNN2
P37840	SNCA
P38570	ITGAE
P38571	LIPA
P38606	ATP6V1A
P39019	RPS19
P39023	RPL3
P39059	COL15A1
P39687	ANP32A
Q92688	ANP32B
P39748	FEN1
P40189	IL6ST
Q8N6Q3	CD177
P40197	GP5
P40200	CD96
P40227	CCT6A
P40261	NNMT
P40306	PSMB10
P40763	STAT3
P40939	HADHA
P40967	PMEL
P41159	LEP
P41218	MNDA
P41222	PTGDS
P41226	UBA7
P41240	CSK
P41250	GARS
P41271	NBL1
P42081	CD86
P42126	ECI1
P42224	STAT1
P42356	PI4KA
P42357	HAL
P42566	EPS15
P42574	CASP3
P42702	LIFR
P42765	ACAA2
P42892	ECE1
P43034	PAFAH1B1
Q9BS26	ERP44
P43121	MCAM
P43155	CRAT
P43234	CTSO
P43243	MATR3
P43250	GRK6
P43405	SYK
P43487	RANBP1
P43686	PSMC4
P45379	TNNT2
P45880	VDAC2
P45954	ACADSB
P45974	USP5
P46108	CRK
P46109	CRKL
P46459	NSF
P46531	NOTCH1
P46777	RPL5
P46778	RPL21
P46781	RPS9
P46782	RPS5
P46821	MAP1B
P46926	GNPDA1
Q8TDQ7	GNPDA2
P46939	UTRN
P46952	HAAO
P47712	PLA2G4A
P47756	CAPZB
P47756-2	nPvarsplic
P47897	QARS
P47929	
LGALS7	NX_P47929-1
Galectin-7	Iso
1	CONCAT=18
P47989	XDH
P48047	ATP5O
P48059	LIMS1
P48147	PREP
P48444	ARCN1
P48507	GCLM
P48509	CD151
P48681	NES
P48723	HSPA13
P48739	PITPNB
Q00169	PITPNA
P48745	NOV
P48788	TNNI2
P48960	CD97
P49006	MARCKSL1
P49184	DNASE1L1
P49247	RPIA
P49257	LMAN1
P49321	NASP
P49354	FNTA
P49407	ARRB1
Microbe_sp|P22679|EFTU_MYCHP	Elongation
P49411	TUFM
P49441	INPP1
P49588	AARS
P49589	CARS
P49591	SARS
P49593	PPM1F
P49736	MCM2
P49755	TMED10
P49756	RBM25
P49767	VEGFC
P49773	HINT1
P49788	RARRES1
P49789	FHIT
P49841	GSK3B
P49913	CAMP
P49914	MTHFS
P49961	ENTPD1
P50120	RBP2
P50135	HNMT
P50213	IDH3A
P50281	MMP14
P50402	EMD
P50416	CPT1A
P50440	GATM
P50454	SERPINH1
P50552	VASP
P50579	METAP2
P50583	NUDT2
P50851	LRBA
P50895	BCAM
P50897	PPT1
P50914	RPL14
P50995	ANXA11
P20339	RAB5A
P51148	RAB5C
P61020	RAB5B
P51161	FABP6
P51178	PLCD1
P51452	DUSP3
P51532	SMARCA4
P51570	GALK1
P51572	BCAP31
P51580	TPMT
P51606	RENBP
P51649	ALDH5A1
P51659	HSD17B4
P51665	PSMD7
P51687	SUOX
P42229	STAT5A
P51692	STAT5B
P51693	APLP1
P51809	VAMP7
P51858	HDGF
P51888	PRELP
P51970	NDUFA8
P52179	MYOM1
P52272	HNRNPM
P52292	KPNA2
P52565	ARHGDIA
P52566	ARHGDIB
P52594	AGFG1
P31943	HNRNPH1
P52597	HNRNPF
P52758	HRSP12
P52788	SMS
P52799	EFNB2
P52823	STC1
P52848	NDST1
P52849	NDST2
P47755	CAPZA2
P52907	CAPZA1
P52943	CRIP2
P53004	BLVRA
P53007	SLC25A1
P53041	PPP5C
P53396	ACLY
P53582	METAP1
P53597	SUCLG1
P53621	COPA
P53634	CTSC
P53674	CRYBB1
P53801	PTTG1IP
P53814	SMTN
P53990	IST1
P53992	SEC24C
P54108	CRISP3
P54136	RARS
P54289	CACNA2D1
Q8WUM4	PDCD6IP
Q9NY47	CACNA2D2
P54296	MYOM2
P54577	YARS
P54578	USP14
P54619	PRKAG1
P54687	BCAT1
P54709	ATP1B3
P54710	FXYD2
P54803	GALC
P30085	CMPK1
P54819	AK2
P54826	GAS1
P54868	HMGCS2
Q01581	HMGCS1
P54886	ALDH18A1
P54920	NAPA
P55000	SLURP1
P55010	EIF5
P55036	PSMD4
P55058	PLTP
P55060	CSE1L
P55083	MFAP4
P55084	HADHB
P55145	MANF
P55157	MTTP
P55209	NAP1L1
Q99733	NAP1L4
P55259	GP2
P55263	ADK
P55285	CDH6
P55287	CDH11
P55327	TPD52
P55735	SEC13
P55774	CCL18
P55809	OXCT1
P55884	EIF3B
P55899	FCGRT
P55957	BID
P56134	ATP5J2
P56159	GFRA1
P56192	MARS
P56199	ITGA1
P56202	CTSW
P56385	ATP5I
P56470	LGALS4
P56537	EIF6
P56817	BACE1
P57087	JAM2
P57737	CORO7
P58062	SPINK7
P58166	INHBE
P58215	LOXL3
P58499	FAM3B
P58546	MTPN
P59998	ARPC4
P60033	CD81
P60174	TPI1
P60228	EIF3E
P05976	MYL1
P08590	MYL3
P12829	MYL4
P60660	MYL6
P38919	EIF4A3
P60842	EIF4A1
Q14240	EIF4A2
P60866	RPS20
P60880	SNAP25
P60891	PRPS1
P60900	PSMA6
P60903	S100A10
P60985	KRTDAP
O14933	UBE2L6
P61086	UBE2K
P61088	UBE2N
P61158	ACTR3
P61160	ACTR2
P42025	ACTR1B
P61163	ACTR1A
P61201	COPS2
P61247	RPS3A
P61289	PSME3
P61313	RPL15
P61353	RPL27
P61421	ATP6V0D1
P61457	PCBD1
P08134	RHOC
P61586	RHOA
P61604	HSPE1
Q9Y3A3	MOB4
P61619	SEC61A1
P61758	VBP1
P61769	B2M
P61803	DAD1
P61923	COPZ1
P61960	UFM1
P61970	NUTF2
P61978	HNRNPK
P62081	RPS7
P36873	PPP1CC
P62136	PPP1CA
P62140	PPP1CB
Q08209	PPP3CA
P27482	CALML3
P62158	
CALM1	CALM3
NX_P62158-1	isoform
CONCAT=101	
P62191	PSMC1
P62195	PSMC5
P62241	RPS8
P62244	RPS15A
Q15041	ARL6IP1
P62249	RPS16
P62263	RPS14
P62266	RPS23
P62269	RPS18
P62277	RPS13
P62304	SNRPE
P62306	SNRPF
P62314	SNRPD1
P62318	SNRPD3
P62328	TMSB4X
P62333	PSMC6
P62424	RPL7A
P62495	ETF1
P62633	CNBP
P62701	RPS4X
P62750	RPL23A
P62753	RPS6
P62826	RAN
P62829	RPL23
P62841	RPS15
P62847	RPS24
P62851	RPS25
P62873	GNB1
P62879	GNB2
Q9HAV0	GNB4
P62888	RPL30
P62899	RPL31
P62906	RPL10A
P62910	RPL32
P62913	RPL11
P62917	RPL8
P23284	PPIB
P30405	PPIF
P45877	PPIC
P62937	PPIA
P62942	FKBP1A
P16885	PLCG2
P62993	GRB2
P62995	TRA2B
P63098	PPP3R1
P63208	SKP1
P63218	GNG5
P63244	RACK1
P63279	UBE2I
P63313	TMSB10
P63316	TNNC1
P16989	YBX3
P67809	YBX1
P67812	SEC11A
P68402	PAFAH1B2
Q8N6C5	IGSF1
P78310	CXADR
P78318	IGBP1
O00241	SIRPB1
P78324	SIRPA
P78344	EIF4G2
P78371	CCT2
P78417	GSTO1
P78504	JAG1
Q9Y219	JAG2
P78509	RELN
P78527	PRKDC
P78536	ADAM17
P78552	IL13RA1
P30530	AXL
P80108	GPLD1
Q9Y4E8	USP15
P80188	LCN2
P80217	IFI35
P80303	NUCB2
P80370	DLK1
P80511	S100A12
P80723	BASP1
P81172	HAMP
P81605	DCD
P82970	HMGN5
P83731	RPL24
P84090	ERH
P84098	RPL19
P98066	TNFAIP6
P98095	FBLN2
P98153	DGCR2
P98172	EFNB1
P98179	RBM3
P98194	ATP2C1
P99999	CYCS
Q00013	MPP1
Q00325	SLC25A3
Q00577	PURA
Q00610	CLTC
Q01518	CAP1
Q00688	FKBP3
Q00722	PLCB2
Q00765	REEP5
Q00796	SORD
Q00839	HNRNPU
Q00973	B4GALNT1
Q01105	SET
Q01130	SRSF2
Q01433	AMPD2
Q01469	FABP5
Q01650	SLC7A5
P08237	PFKM
P17858	PFKL
Q01813	PFKP
Q14019	COTL1
Q01844	EWSR1
Q01970	PLCB3
Q01995	TAGLN
Q02108	GUCY1A3
Q02153	GUCY1B3
Q02223	TNFRSF17
Q02246	CNTN2
Q02252	ALDH6A1
Q02413	DSG1
Q86SJ6	DSG4
Q02742	GCNT1
Q02747	GUCA2A
Q02750	MAP2K1
Q02763	TEK
Q02790	FKBP4
Q02809	PLOD1
Q02817	MUC2
Q02878	RPL6
Q02952	AKAP12
Q02978	SLC25A11
Q03154	ACY1
Q9BUJ0	ABHD14A
Q03167	TGFBR3
Q9Y6K5	OAS3
Q03403	TFF2
Q03405	PLAUR
Q03692	COL10A1
Q04323	UBXN1
Q04446	GBE1
Q04637	EIF4G1
Q04721	NOTCH2
Q04760	GLO1
Q04837	SSBP1
Q04941	PLP2
Q05209	PTPN12
Q05315	CLC
Q05397	PTK2
Q05682	CALD1
Q06124	PTPN11
Q06141	REG3A
Q06278	AOX1
Q08722	CD47
Q06323	PSME1
Q06418	TYRO3
Q06520	SULT2A1
Q06828	FMOD
Q07020	RPL18
Q07021	C1QBP
Q07065	CKAP4
Q07507	DPT
Q07654	TFF3
Q07666	KHDRBS1
Q07812	BAX
Q07955	SRSF1
Q08174	PCDH1
Q08188	TGM3
Q08211	DHX9
Q08257	CRYZ
P48551	IFNAR2
Q08334	IL10RB
Q08380	LGALS3BP
Q08397	LOXL1
Q08431	MFGE8
Q08495	DMTN
Q08623	PUDP
Q08830	FGL1
Q08945	SSRP1
Q08J23	NSUN2
Q09028	RBBP4
Q09327	MGAT3
Q09328	MGAT5
Q0VAF6	SYCN
Q0VD83	APOBR
Q0VDG4	SCRN3
Q0ZGT2	NEXN
Q10469	MGAT2
Q10471	GALNT2
Q7Z7M9	GALNT5
Q8IXK2	GALNT12
Q8N428	GALNT16
Q8N4A0	GALNT4
Q9Y6N5	SQRDL
Q10472	GALNT1
Q86SR1	GALNT10
P63010	AP2B1
Q10567	AP1B1
Q10713	PMPCA
Q12765	SCRN1
Q12794	HYAL1
Q12797	ASPH
Q12805	EFEMP1
Q12841	FSTL1
Q96C19	EFHD2
Q9NZT1	CALML5
Q12846	STX4
Q12864	CDH17
Q12866	MERTK
P02792	FTL
Q12882	DPYD
Q12905	ILF2
Q12906	ILF3
Q12907	LMAN2
Q12974	PTP4A2
Q13045	FLII
Q13057	COASY
Q13093	PLA2G7
Q13094	LCP2
Q13098	GPS1
Q13126	MTAP
Q13148	TARDBP
Q13155	AIMP2
Q13153	PAK1
Q13177	PAK2
P83916	CBX1
Q13185	CBX3
Q13200	PSMD2
Q13201	MMRN1
P25787	PSMA2
P49721	PSMB2
Q13217	DNAJC3
Q13219	PAPPA
Q13228	SELENBP1
Q13231	CHIT1
Q13232	NME3
Q13243	SRSF5
Q13263	TRIM28
Q13283	G3BP1
Q13287	NMI
Q13291	SLAMF1
Q13308	PTK7
Q13347	EIF3I
Q13361	MFAP5
Q13404	UBE2V1
Q15819	UBE2V2
Q13409	DYNC1I2
Q13418	ILK
Q13423	NNT
Q13435	SF3B2
Q13442	PDAP1
Q13443	ADAM9
Q13444	ADAM15
Q13477	MADCAM1
Q13492	PICALM
Q13508	ART3
Q13510	ASAH1
Q13526	PIN1
Q13561	DCTN2
Q13564	NAE1
Q13586	STIM1
Q13616	CUL1
Q13618	CUL3
Q13630	TSTA3
Q13637	RAB32
Q13641	TPBG
Q13642	FHL1
Q13683	ITGA7
Q13740	ALCAM
Q13751	LAMB3
Q13790	APOF
Q13797	ITGA9
Q13813	SPTAN1
O14638	ENPP3
P22413	ENPP1
Q13822	ENPP2
Q13838	DDX39B
Q13884	SNTB1
Q13976	PRKG1
Q13976-2	nPvarsplic
Q14005	IL16
Q14008	CKAP5
Q14011	CIRBP
Q14012	CAMK1
Q14032	BAAT
Q14061	COX17
Q14103	HNRNPD
Q99729	HNRNPAB
Q14108	SCARB2
Q14118	DAG1
Q14126	DSG2
Q14155	ARHGEF7
Q14156	EFR3A
Q14165	MLEC
Q14204	DYNC1H1
Q14210	LY6D
Q14213	EBI3
Q14232	EIF2B1
Q14247	CTTN
Q14254	FLOT2
Q14257	RCN2
Q14289	PTK2B
Q14314	FGL2
Q14353	GAMT
