Uniprot	Description	Names
P13598	ICAM2_HUMAN	ICAM2
P17813	EGLN_HUMAN	ENG
P11279	LAMP1_HUMAN	LAMP1
Q6YHK3	CD109_HUMAN	CD109
P40238	TPOR_HUMAN	MPL
P20701	ITAL_HUMAN	ITGAL
P11215	ITAM_HUMAN	ITGAM
P20702	ITAX_HUMAN	ITGAX
P08571	CD14_HUMAN	CD14
P07204	TRBM_HUMAN	THBD
P12821	ACE_HUMAN	ACE
P33151	CADH5_HUMAN	CDH5
P35613	BASI_HUMAN	BSG
Q12913	PTPRJ_HUMAN	PTPRJ
P48509	CD151_HUMAN	CD151
P29965	CD40L_HUMAN	CD40LG
O14672	ADA10_HUMAN	ADAM10
P08637	FCG3A_HUMAN	FCGR3A
O75015	FCG3B_HUMAN	FCGR3B
P15814	IGLL1_HUMAN	IGLL1
P05107	ITB2_HUMAN	ITGB2
P61073	CXCR4_HUMAN	CXCR4
P13164	IFM1_HUMAN	IFITM1
Q15762	CD226_HUMAN	CD226
P04156	PRIO_HUMAN	PRNP
P02730	B3AT_HUMAN	SLC4A1
P02724	GLPA_HUMAN	GYPA
P04921	GLPC_HUMAN	GYPC
P50895	BCAM_HUMAN	BCAM
P18577	RHCE_HUMAN	RHCE
P05556	ITB1_HUMAN	ITGB1
P54709	AT1B3_HUMAN	ATP1B3
P16284	PECA1_HUMAN	PECAM1
Q9Y624	JAM1_HUMAN	F11R
P12318	FCG2A_HUMAN	FCGR2A
P12830	CADH1_HUMAN	CDH1
P28906	CD34_HUMAN	CD34
P17927	CR1_HUMAN	CR1
P16671	CD36_HUMAN	CD36
P25942	TNR5_HUMAN	CD40
P08514	ITA2B_HUMAN	ITGA2B
P14770	GPIX_HUMAN	GP9
P07359	GP1BA_HUMAN	GP1BA
P13224	GP1BB_HUMAN	GP1BB
P40197	GPV_HUMAN	GP5
P16150	LEUK_HUMAN	SPN
P16070	CD44_HUMAN	CD44
P08575	PTPRC_HUMAN	PTPRC
P15529	MCP_HUMAN	CD46
Q08722	CD47_HUMAN	CD47
P17301	ITA2_HUMAN	ITGA2
P08648	ITA5_HUMAN	ITGA5
P23229	ITA6_HUMAN	ITGA6
P32942	ICAM3_HUMAN	ICAM3
P06756	ITAV_HUMAN	ITGAV
P05362	ICAM1_HUMAN	ICAM1
P08174	DAF_HUMAN	CD55
P13987	CD59_HUMAN	CD59
P05106	ITB3_HUMAN	ITGB3
P16109	LYAM3_HUMAN	SELP
P08962	CD63_HUMAN	CD63
P34810	CD68_HUMAN	CD68
P02786	TFR1_HUMAN	TFRC
P60033	CD81_HUMAN	CD81
P27701	CD82_HUMAN	CD82
Q9UIB8	SLAF5_HUMAN	CD84
P21926	CD9_HUMAN	CD9
Q8WWI5	CTL1_HUMAN	SLC44A1
P08195	4F2_HUMAN	SLC3A2
P14209	CD99_HUMAN	CD99
Q96AP7	ESAM_HUMAN	ESAM
P98160	PGBM_HUMAN	HSPG2
P31946	1433B_HUMAN	YWHAB
P62258	1433E_HUMAN	YWHAE
Q04917	1433F_HUMAN	YWHAH
P61981	1433G_HUMAN	YWHAG
P31947	1433S_HUMAN	SFN
P27348	1433T_HUMAN	YWHAQ
P63104	1433Z_HUMAN	YWHAZ
P01891	1A68_HUMAN	HLA-A
P01889	1B07_HUMAN	HLA-B
P04222	1C03_HUMAN	HLA-C
Q15172	2A5A_HUMAN	PPP2R5A
P30153	2AAA_HUMAN	PPP2R1A
P63151	2ABA_HUMAN	PPP2R2A
P01911	2B1F_HUMAN	HLA-DRB1
P31937	3HIDH_HUMAN	HIBADH
P11171	41_HUMAN	EPB41
P49902	5NTC_HUMAN	NT5C2
P56378	68MP_HUMAN	MP68
P52209	6PGD_HUMAN	PGD
O95336	6PGL_HUMAN	PGLS
Q8IZ83	A16A1_HUMAN	ALDH16A1
P02763	A1AG1_HUMAN	ORM1
P19652	A1AG2_HUMAN	ORM2
P01009	A1AT_HUMAN	SERPINA1
P04217	A1BG_HUMAN	A1BG
P08697	A2AP_HUMAN	SERPINF2
P02750	A2GL_HUMAN	LRG1
P01023	A2MG_HUMAN	A2M
P05067	A4_HUMAN	APP
Q15758	AAAT_HUMAN	SLC1A5
P01011	AACT_HUMAN	SERPINA3
P54619	AAKG1_HUMAN	PRKAG1
P17174	AATC_HUMAN	GOT1
P00505	AATM_HUMAN	GOT2
Q5VST6	AB17B_HUMAN	ABHD17B
Q9NP58	ABCB6_HUMAN	ABCB6
P61221	ABCE1_HUMAN	ABCE1
Q9NUJ1	ABHDA_HUMAN	ABHD10
Q8NFV4	ABHDB_HUMAN	ABHD11
Q96IU4	ABHEB_HUMAN	ABHD14B
O95870	ABHGA_HUMAN	ABHD16A
Q8IZP0	ABI1_HUMAN	ABI1
O94929	ABLM3_HUMAN	ABLIM3
Q9P1F3	ABRAL_HUMAN	ABRACL
Q9UKU7	ACAD8_HUMAN	ACAD8
P11310	ACADM_HUMAN	ACADM
P16219	ACADS_HUMAN	ACADS
P49748	ACADV_HUMAN	ACADVL
Q15057	ACAP2_HUMAN	ACAP2
P07108	ACBP_HUMAN	DBI
P45954	ACDSB_HUMAN	ACADSB
P53396	ACLY_HUMAN	ACLY
Q9NPJ3	ACO13_HUMAN	ACOT13
P21399	ACOC_HUMAN	ACO1
Q99798	ACON_HUMAN	ACO2
P49753	ACOT2_HUMAN	ACOT2
O14734	ACOT8_HUMAN	ACOT8
Q9Y305	ACOT9_HUMAN	ACOT9
Q15067	ACOX1_HUMAN	ACOX1
P13798	ACPH_HUMAN	APEH
O14561	ACPM_HUMAN	NDUFAB1
O60488	ACSL4_HUMAN	ACSL4
Q9ULC5	ACSL5_HUMAN	ACSL5
P62736	ACTA_HUMAN	ACTA2
P60709	ACTB_HUMAN	ACTB
Q562R1	ACTBL_HUMAN	ACTBL2
Q9BYX7	ACTBM_HUMAN	POTEKP
P68032	ACTC_HUMAN	ACTC1
P63261	ACTG_HUMAN	ACTG1
P63267	ACTH_HUMAN	ACTG2
P12814	ACTN1_HUMAN	ACTN1
P35609	ACTN2_HUMAN	ACTN2
O43707	ACTN4_HUMAN	ACTN4
P68133	ACTS_HUMAN	ACTA1
P42025	ACTY_HUMAN	ACTR1B
P61163	ACTZ_HUMAN	ACTR1A
P08913	ADA2A_HUMAN	ADRA2A
O00116	ADAS_HUMAN	AGPS
O43306	ADCY6_HUMAN	ADCY6
P35611	ADDA_HUMAN	ADD1
Q9UEY8	ADDG_HUMAN	ADD3
P08319	ADH4_HUMAN	ADH4
P11766	ADHX_HUMAN	ADH5
Q16186	ADRM1_HUMAN	ADRM1
P12235	ADT1_HUMAN	SLC25A4
P05141	ADT2_HUMAN	SLC25A5
P12236	ADT3_HUMAN	SLC25A6
P43652	AFAM_HUMAN	AFM
Q9Y4W6	AFG32_HUMAN	AFG3L2
Q5I7T1	AG10B_HUMAN	ALG10B
P52594	AGFG1_HUMAN	AGFG1
Q9UKV8	AGO2_HUMAN	AGO2
Q96K78	AGRG7_HUMAN	ADGRG7
Q09666	AHNK_HUMAN	AHNAK
O95433	AHSA1_HUMAN	AHSA1
P55008	AIF1_HUMAN	AIF1
O95831	AIFM1_HUMAN	AIFM1
Q12904	AIMP1_HUMAN	AIMP1
Q02040	AK17A_HUMAN	AKAP17A
P14550	AK1A1_HUMAN	AKR1A1
P00352	AL1A1_HUMAN	ALDH1A1
P30038	AL4A1_HUMAN	ALDH4A1
P49189	AL9A1_HUMAN	ALDH9A1
P02768	ALBU_HUMAN	ALB
P04075	ALDOA_HUMAN	ALDOA
P09972	ALDOC_HUMAN	ALDOC
P35858	ALS_HUMAN	IGFALS
P02760	AMBP_HUMAN	AMBP
Q01433	AMPD2_HUMAN	AMPD2
P28838	AMPL_HUMAN	LAP3
P04745	AMY1_HUMAN	AMY1A
Q9P2R3	ANFY1_HUMAN	ANKFY1
P03950	ANGI_HUMAN	ANG
Q8NI99	ANGL6_HUMAN	ANGPTL6
P01019	ANGT_HUMAN	AGT
P16157	ANK1_HUMAN	ANK1
Q4KMQ2	ANO6_HUMAN	ANO6
O15084	ANR28_HUMAN	ANKRD28
P01008	ANT3_HUMAN	SERPINC1
P58335	ANTR2_HUMAN	ANTXR2
P50995	ANX11_HUMAN	ANXA11
P04083	ANXA1_HUMAN	ANXA1
P07355	ANXA2_HUMAN	ANXA2
P12429	ANXA3_HUMAN	ANXA3
P09525	ANXA4_HUMAN	ANXA4
P08758	ANXA5_HUMAN	ANXA5
P08133	ANXA6_HUMAN	ANXA6
P20073	ANXA7_HUMAN	ANXA7
P27338	AOFB_HUMAN	MAOB
Q10567	AP1B1_HUMAN	AP1B1
O43747	AP1G1_HUMAN	AP1G1
Q9BXS5	AP1M1_HUMAN	AP1M1
P61966	AP1S1_HUMAN	AP1S1
P56377	AP1S2_HUMAN	AP1S2
O95782	AP2A1_HUMAN	AP2A1
O94973	AP2A2_HUMAN	AP2A2
P63010	AP2B1_HUMAN	AP2B1
Q96CW1	AP2M1_HUMAN	AP2M1
P53680	AP2S1_HUMAN	AP2S1
O00203	AP3B1_HUMAN	AP3B1
O14617	AP3D1_HUMAN	AP3D1
Q9Y2T2	AP3M1_HUMAN	AP3M1
Q92572	AP3S1_HUMAN	AP3S1
O14727	APAF_HUMAN	APAF1
Q9HDC9	APMAP_HUMAN	APMAP
P08519	APOA_HUMAN	LPA
P02647	APOA1_HUMAN	APOA1
P02652	APOA2_HUMAN	APOA2
P06727	APOA4_HUMAN	APOA4
Q6Q788	APOA5_HUMAN	APOA5
P04114	APOB_HUMAN	APOB
P02654	APOC1_HUMAN	APOC1
P02655	APOC2_HUMAN	APOC2
P02656	APOC3_HUMAN	APOC3
P55056	APOC4_HUMAN	APOC4
P05090	APOD_HUMAN	APOD
P02649	APOE_HUMAN	APOE
Q13790	APOF_HUMAN	APOF
P02749	APOH_HUMAN	APOH
O14791	APOL1_HUMAN	APOL1
O95445	APOM_HUMAN	APOM
Q9BUR5	APOO_HUMAN	APOO
P07741	APT_HUMAN	APRT
P29972	AQP1_HUMAN	AQP1
Q15041	AR6P1_HUMAN	ARL6IP1
Q96P48	ARAP1_HUMAN	ARAP1
Q8WZ64	ARAP2_HUMAN	ARAP2
P25098	ARBK1_HUMAN	ADRBK1
Q92747	ARC1A_HUMAN	ARPC1A
O15143	ARC1B_HUMAN	ARPC1B
P84077	ARF1_HUMAN	ARF1
P61204	ARF3_HUMAN	ARF3
P18085	ARF4_HUMAN	ARF4
P84085	ARF5_HUMAN	ARF5
P62330	ARF6_HUMAN	ARF6
P05089	ARGI1_HUMAN	ARG1
Q92974	ARHG2_HUMAN	ARHGEF2
Q14155	ARHG7_HUMAN	ARHGEF7
Q9NZN5	ARHGC_HUMAN	ARHGEF12
O95376	ARI2_HUMAN	ARIH2
O43488	ARK72_HUMAN	AKR7A2
P40616	ARL1_HUMAN	ARL1
P36404	ARL2_HUMAN	ARL2
Q96BM9	ARL8A_HUMAN	ARL8A
Q9NVJ2	ARL8B_HUMAN	ARL8B
Q9UH62	ARMX3_HUMAN	ARMCX3
Q9NZ32	ARP10_HUMAN	ACTR10
P61160	ARP2_HUMAN	ACTR2
P61158	ARP3_HUMAN	ACTR3
Q9BPX5	ARP5L_HUMAN	ARPC5L
O15144	ARPC2_HUMAN	ARPC2
O15145	ARPC3_HUMAN	ARPC3
P59998	ARPC4_HUMAN	ARPC4
O15511	ARPC5_HUMAN	ARPC5
P49407	ARRB1_HUMAN	ARRB1
Q13510	ASAH1_HUMAN	ASAH1
Q9ULH1	ASAP1_HUMAN	ASAP1
O43150	ASAP2_HUMAN	ASAP2
O43681	ASNA_HUMAN	ASNA1
Q9BXN1	ASPN_HUMAN	ASPN
P98196	AT11A_HUMAN	ATP11A
P54707	AT12A_HUMAN	ATP12A
P05023	AT1A1_HUMAN	ATP1A1
P13637	AT1A3_HUMAN	ATP1A3
O14983	AT2A1_HUMAN	ATP2A1
P16615	AT2A2_HUMAN	ATP2A2
Q93084	AT2A3_HUMAN	ATP2A3
Q16720	AT2B3_HUMAN	ATP2B3
P23634	AT2B4_HUMAN	ATP2B4
P98194	AT2C1_HUMAN	ATP2C1
P24539	AT5F1_HUMAN	ATP5F1
Q9Y2Q0	AT8A1_HUMAN	ATP8A1
Q6PL18	ATAD2_HUMAN	ATAD2
O95260	ATE1_HUMAN	ATE1
Q9NT62	ATG3_HUMAN	ATG3
Q9UII2	ATIF1_HUMAN	ATPIF1
Q8WXF7	ATLA1_HUMAN	ATL1
Q6DD88	ATLA3_HUMAN	ATL3
Q92858	ATOH1_HUMAN	ATOH1
P56381	ATP5E_HUMAN	ATP5E
O75947	ATP5H_HUMAN	ATP5H
P56385	ATP5I_HUMAN	ATP5I
P18859	ATP5J_HUMAN	ATP5J
O75964	ATP5L_HUMAN	ATP5L
P00846	ATP6_HUMAN	MT-ATP6
P25705	ATPA_HUMAN	ATP5A1
P06576	ATPB_HUMAN	ATP5B
P30049	ATPD_HUMAN	ATP5D
P36542	ATPG_HUMAN	ATP5C1
P56134	ATPK_HUMAN	ATP5J2
P48047	ATPO_HUMAN	ATP5O
Q6RW13	ATRAP_HUMAN	AGTRAP
O75882	ATRN_HUMAN	ATRN
Q76LX8	ATS13_HUMAN	ADAMTS13
Q9Y679	AUP1_HUMAN	AUP1
Q9UPN4	AZI1_HUMAN	CEP131
P61769	B2MG_HUMAN	B2M
B7ZLJ5	B7ZLJ5_HUMAN	C6orf25
O00154	BACH_HUMAN	ACOT7
O75531	BAF_HUMAN	BANF1
P46379	BAG6_HUMAN	BAG6
Q8NDB2	BANK1_HUMAN	BANK1
Q9UHQ4	BAP29_HUMAN	BCAP29
P51572	BAP31_HUMAN	BCAP31
P80723	BASP1_HUMAN	BASP1
Q07812	BAX_HUMAN	BAX
Q02338	BDH_HUMAN	BDH1
P23560	BDNF_HUMAN	BDNF
O15155	BET1_HUMAN	BET1
P16278	BGAL_HUMAN	GLB1
Q15582	BGH3_HUMAN	TGFBI
Q8NDY6	BHE23_HUMAN	BHLHE23
P55957	BID_HUMAN	BID
P53004	BIEA_HUMAN	BLVRA
Q9UBW5	BIN2_HUMAN	BIN2
P78537	BL1S1_HUMAN	BLOC1S1
P51451	BLK_HUMAN	BLK
Q13867	BLMH_HUMAN	BLMH
P30043	BLVRB_HUMAN	BLVRB
Q12982	BNIP2_HUMAN	BNIP2
Q9H3K6	BOLA2_HUMAN	BOLA2
Q8TDL5	BPIB1_HUMAN	BPIFB1
O95861	BPNT1_HUMAN	BPNT1
O75150	BRE1B_HUMAN	RNF40
Q8WUW1	BRK1_HUMAN	BRK1
Q9HCU9	BRMS1_HUMAN	BRMS1
Q5VW32	BROX_HUMAN	BROX
Q06187	BTK_HUMAN	BTK
Q7L1Q6	BZW1_HUMAN	BZW1
P02745	C1QA_HUMAN	C1QA
P02746	C1QB_HUMAN	C1QB
Q07021	C1QBP_HUMAN	C1QBP
P02747	C1QC_HUMAN	C1QC
Q9BXJ4	C1QT3_HUMAN	C1QTNF3
P00736	C1R_HUMAN	C1R
Q9NZP8	C1RL_HUMAN	C1RL
P09871	C1S_HUMAN	C1S
P11586	C1TC_HUMAN	MTHFD1
P04003	C4BPA_HUMAN	C4BPA
P20851	C4BPB_HUMAN	C4BPB
O14569	C56D2_HUMAN	CYB561D2
Q9UKL3	C8AP2_HUMAN	CASP8AP2
C9JJT5	C9JJT5_HUMAN	ATP5J2-PTCD1
Q69YW2	CA095_HUMAN	C1orf95
Q9NWV4	CA123_HUMAN	C1orf123
Q9H425	CA198_HUMAN	C1orf198
Q02641	CACB1_HUMAN	CACNB1
Q9P1Z2	CACO1_HUMAN	CALCOCO1
P43155	CACP_HUMAN	CRAT
P00915	CAH1_HUMAN	CA1
Q8N1Q1	CAH13_HUMAN	CA13
P00918	CAH2_HUMAN	CA2
P22748	CAH4_HUMAN	CA4
Q05682	CALD1_HUMAN	CALD1
Q9NZT1	CALL5_HUMAN	CALML5
P62158	CALM_HUMAN	CALM1
P27797	CALR_HUMAN	CALR
O43852	CALU_HUMAN	CALU
P27824	CALX_HUMAN	CANX
P49913	CAMP_HUMAN	CAMP
P07384	CAN1_HUMAN	CAPN1
Q86VP6	CAND1_HUMAN	CAND1
Q01518	CAP1_HUMAN	CAP1
P47756	CAPZB_HUMAN	CAPZB
Q9BXL7	CAR11_HUMAN	CARD11
P42574	CASP3_HUMAN	CASP3
P55212	CASP6_HUMAN	CASP6
P31944	CASPE_HUMAN	CASP14
Q9NQ75	CASS4_HUMAN	CASS4
P04040	CATA_HUMAN	CAT
P53634	CATC_HUMAN	CTSC
P07339	CATD_HUMAN	CTSD
P56202	CATW_HUMAN	CTSW
P52907	CAZA1_HUMAN	CAPZA1
P47755	CAZA2_HUMAN	CAPZA2
Q9H9S4	CB39L_HUMAN	CAB39L
P08185	CBG_HUMAN	SERPINA6
Q96IY4	CBPB2_HUMAN	CPB2
P15169	CBPN_HUMAN	CPN1
P16152	CBR1_HUMAN	CBR1
Q96JN2	CC136_HUMAN	CCDC136
A2VCL2	CC162_HUMAN	CCDC162P
Q9NV96	CC50A_HUMAN	TMEM30A
O60826	CCD22_HUMAN	CCDC22
Q6ZRK6	CCD73_HUMAN	CCDC73
P55774	CCL18_HUMAN	CCL18
P13501	CCL5_HUMAN	CCL5
Q9ULG6	CCPG1_HUMAN	CCPG1
O14618	CCS_HUMAN	CCS
Q9Y5K6	CD2AP_HUMAN	CD2AP
P11049	CD37_HUMAN	CD37
O43866	CD5L_HUMAN	CD5L
Q9BWV3	CDAC1_HUMAN	CDADC1
Q16543	CDC37_HUMAN	CDC37
P60953	CDC42_HUMAN	CDC42
O14735	CDIPT_HUMAN	CDIPT
Q14004	CDK13_HUMAN	CDK13
P50750	CDK9_HUMAN	CDK9
O95674	CDS2_HUMAN	CDS2
Q15517	CDSN_HUMAN	CDSN
Q9UKY7	CDV3_HUMAN	CDV3
A6NDU8	CE051_HUMAN	C5orf51
Q9P2H0	CE126_HUMAN	CEP126
O15078	CE290_HUMAN	CEP290
Q9HCU4	CELR2_HUMAN	CELSR2
Q96MT8	CEP63_HUMAN	CEP63
P00450	CERU_HUMAN	CP
P11597	CETP_HUMAN	CETP
P00751	CFAB_HUMAN	CFB
P08603	CFAH_HUMAN	CFH
P05156	CFAI_HUMAN	CFI
Q9UEE9	CFDP1_HUMAN	CFDP1
E0CX11	CG073_HUMAN	C7orf73
P61604	CH10_HUMAN	HSPE1
P10809	CH60_HUMAN	HSPD1
Q9NX63	CHCH3_HUMAN	CHCHD3
Q3L8U1	CHD9_HUMAN	CHD9
Q9BWS9	CHID1_HUMAN	CHID1
Q9Y259	CHKB_HUMAN	CHKB
O43633	CHM2A_HUMAN	CHMP2A
Q9BY43	CHM4A_HUMAN	CHMP4A
Q9H444	CHM4B_HUMAN	CHMP4B
Q96FZ7	CHMP6_HUMAN	CHMP6
Q96BS2	CHP3_HUMAN	TESC
Q15642	CIP4_HUMAN	TRIP10
Q14011	CIRBP_HUMAN	CIRBP
Q8N5K1	CISD2_HUMAN	CISD2
O75390	CISY_HUMAN	CS
Q9H0W9	CK054_HUMAN	C11orf54
Q14008	CKAP5_HUMAN	CKAP5
Q96DZ9	CKLF5_HUMAN	CMTM5
Q9NX76	CKLF6_HUMAN	CMTM6
Q9Y240	CLC11_HUMAN	CLEC11A
Q9P126	CLC1B_HUMAN	CLEC1B
P09496	CLCA_HUMAN	CLTA
A8K7I4	CLCA1_HUMAN	CLCA1
P09497	CLCB_HUMAN	CLTB
P51790	CLCN3_HUMAN	CLCN3
O15551	CLD3_HUMAN	CLDN3
O00501	CLD5_HUMAN	CLDN5
Q00610	CLH1_HUMAN	CLTC
P53675	CLH2_HUMAN	CLTCL1
O00299	CLIC1_HUMAN	CLIC1
O15247	CLIC2_HUMAN	CLIC2
Q9Y696	CLIC4_HUMAN	CLIC4
Q9NZA1	CLIC5_HUMAN	CLIC5
P30622	CLIP1_HUMAN	CLIP1
Q9UDT6	CLIP2_HUMAN	CLIP2
P10909	CLUS_HUMAN	CLU
Q8IY22	CMIP_HUMAN	CMIP
Q9Y224	CN166_HUMAN	C14orf166
P09543	CN37_HUMAN	CNP
Q96KN2	CNDP1_HUMAN	CNDP1
Q96KP4	CNDP2_HUMAN	CNDP2
Q99439	CNN2_HUMAN	CNN2
Q9Y2B0	CNPY2_HUMAN	CNPY2
Q9BT09	CNPY3_HUMAN	CNPY3
Q6PJW8	CNST_HUMAN	CNST
P06681	CO2_HUMAN	C2
P01024	CO3_HUMAN	C3
P0C0L4	CO4A_HUMAN	C4A
P0C0L5	CO4B_HUMAN	C4B
P01031	CO5_HUMAN	C5
P13671	CO6_HUMAN	C6
P12109	CO6A1_HUMAN	COL6A1
P12111	CO6A3_HUMAN	COL6A3
P10643	CO7_HUMAN	C7
P07357	CO8A_HUMAN	C8A
P07358	CO8B_HUMAN	C8B
P07360	CO8G_HUMAN	C8G
P02748	CO9_HUMAN	C9
Q9Y2R0	COA3_HUMAN	COA3
Q13057	COASY_HUMAN	COASY
P23528	COF1_HUMAN	CFL1
Q14746	COG2_HUMAN	COG2
P39060	COIA1_HUMAN	COL18A1
Q9Y6Z7	COL10_HUMAN	COLEC10
Q9BWP8	COL11_HUMAN	COLEC11
Q9P000	COMD9_HUMAN	COMMD9
P21964	COMT_HUMAN	COMT
P53621	COPA_HUMAN	COPA
P53618	COPB_HUMAN	COPB1
P35606	COPB2_HUMAN	COPB2
P48444	COPD_HUMAN	ARCN1
O14579	COPE_HUMAN	COPE
Q9Y678	COPG1_HUMAN	COPG1
Q9UBF2	COPG2_HUMAN	COPG2
P61923	COPZ1_HUMAN	COPZ1
P31146	COR1A_HUMAN	CORO1A
Q9BR76	COR1B_HUMAN	CORO1B
Q9ULV4	COR1C_HUMAN	CORO1C
P57737	CORO7_HUMAN	CORO7
Q14019	COTL1_HUMAN	COTL1
P00403	COX2_HUMAN	MT-CO2
P13073	COX41_HUMAN	COX4I1
P20674	COX5A_HUMAN	COX5A
P10606	COX5B_HUMAN	COX5B
P09669	COX6C_HUMAN	COX6C
O14548	COX7R_HUMAN	COX7A2L
Q7Z7K0	COXM1_HUMAN	CMC1
Q6P387	CP046_HUMAN	C16orf46
P22792	CPN2_HUMAN	CPN2
Q96FN4	CPNE2_HUMAN	CPNE2
O75131	CPNE3_HUMAN	CPNE3
P04632	CPNS1_HUMAN	CAPNS1
P50416	CPT1A_HUMAN	CPT1A
P23786	CPT2_HUMAN	CPT2
Q9BQA9	CQ062_HUMAN	C17orf62
H7BZ55	CRCC2_HUMAN	CROCC2
Q96D31	CRCM1_HUMAN	ORAI1
O75629	CREG1_HUMAN	CREG1
Q96HD1	CREL1_HUMAN	CRELD1
P50238	CRIP1_HUMAN	CRIP1
P52943	CRIP2_HUMAN	CRIP2
P46109	CRKL_HUMAN	CRKL
Q8IUI8	CRLF3_HUMAN	CRLF3
Q9UBG3	CRNN_HUMAN	CRNN
Q5TZA2	CROCC_HUMAN	CROCC
H7BZ55	CROL3_HUMAN	CROL3
P02741	CRP_HUMAN	CRP
Q8N1N5	CRPAK_HUMAN	CRIPAK
Q969H8	CS010_HUMAN	C19orf10
P09603	CSF1_HUMAN	CSF1
P41240	CSK_HUMAN	CSK
P68400	CSK21_HUMAN	CSNK2A1
P67870	CSK2B_HUMAN	CSNK2B
P61201	CSN2_HUMAN	COPS2
Q9UNS2	CSN3_HUMAN	COPS3
Q9BT78	CSN4_HUMAN	COPS4
Q9UBW8	CSN7A_HUMAN	COPS7A
Q9H9Q2	CSN7B_HUMAN	COPS7B
Q99627	CSN8_HUMAN	COPS8
P13611	CSPG2_HUMAN	VCAN
P21291	CSRP1_HUMAN	CSRP1
Q9GZN8	CT027_HUMAN	C20orf27
O14595	CTDS2_HUMAN	CTDSP2
O15194	CTDSL_HUMAN	CTDSPL
P29279	CTGF_HUMAN	CTGF
Q8IWA5	CTL2_HUMAN	SLC44A2
P35221	CTNA1_HUMAN	CTNNA1
P35222	CTNB1_HUMAN	CTNNB1
O60716	CTND1_HUMAN	CTNND1
P30825	CTR1_HUMAN	SLC7A1
Q7Z7A3	CTU1_HUMAN	CTU1
Q13616	CUL1_HUMAN	CUL1
Q13618	CUL3_HUMAN	CUL3
Q13620	CUL4B_HUMAN	CUL4B
Q93034	CUL5_HUMAN	CUL5
O60888	CUTA_HUMAN	CUTA
P14854	CX6B1_HUMAN	COX6B1
P14406	CX7A2_HUMAN	COX7A2
P57773	CXA9_HUMAN	GJA9
P19875	CXCL2_HUMAN	CXCL2
P42830	CXCL5_HUMAN	CXCL5
P02775	CXCL7_HUMAN	PPBP
P08574	CY1_HUMAN	CYC1
P04839	CY24B_HUMAN	CYBB
O43169	CYB5B_HUMAN	CYB5B
Q9HB71	CYBP_HUMAN	CACYBP
Q53TN4	CYBR1_HUMAN	CYBRD1
P99999	CYC_HUMAN	CYCS
Q7L576	CYFP1_HUMAN	CYFIP1
Q99418	CYH2_HUMAN	CYTH2
P01040	CYTA_HUMAN	CSTA
P04080	CYTB_HUMAN	CSTB
P01034	CYTC_HUMAN	CST3
Q5M775	CYTSB_HUMAN	SPECC1
D6R9Z7	D6R9Z7_HUMAN	COX7C
D6RAX8	D6RAX8_HUMAN	TSC22D3
Q9Y4D1	DAAM1_HUMAN	DAAM1
P98082	DAB2_HUMAN	DAB2
P61803	DAD1_HUMAN	DAD1
Q9UN19	DAPP1_HUMAN	DAPP1
Q9NR28	DBLOH_HUMAN	DIABLO
Q9UJU6	DBNL_HUMAN	DBNL
Q9Y6G9	DC1L1_HUMAN	DYNC1LI1
P81605	DCD_HUMAN	DCD
P32321	DCTD_HUMAN	DCTD
Q14203	DCTN1_HUMAN	DCTN1
Q13561	DCTN2_HUMAN	DCTN2
O75935	DCTN3_HUMAN	DCTN3
Q9BTE1	DCTN5_HUMAN	DCTN5
P06132	DCUP_HUMAN	UROD
Q7Z4W1	DCXR_HUMAN	DCXR
Q9UMR2	DD19B_HUMAN	DDX19B
O95865	DDAH2_HUMAN	DDAH2
Q16531	DDB1_HUMAN	DDB1
Q96HY6	DDRGK_HUMAN	DDRGK1
Q92499	DDX1_HUMAN	DDX1
Q13206	DDX10_HUMAN	DDX10
O00571	DDX3X_HUMAN	DDX3X
Q5H9U9	DDX6L_HUMAN	DDX60L
Q16698	DECR_HUMAN	DECR1
P59666	DEF3_HUMAN	DEFA3
Q08495	DEMA_HUMAN	DMTN
O94850	DEND_HUMAN	DDN
A2RUS2	DEND3_HUMAN	DENND3
Q9Y315	DEOC_HUMAN	DERA
P15924	DESP_HUMAN	DSP
P60981	DEST_HUMAN	DSTN
P49619	DGKG_HUMAN	DGKG
Q3LXA3	DHAK_HUMAN	DAK
Q8NBQ5	DHB11_HUMAN	HSD17B11
Q53GQ0	DHB12_HUMAN	HSD17B12
P51659	DHB4_HUMAN	HSD17B4
Q9UBM7	DHCR7_HUMAN	DHCR7
P00367	DHE3_HUMAN	GLUD1
P09417	DHPR_HUMAN	QDPR
Q9Y394	DHRS7_HUMAN	DHRS7
P31040	DHSA_HUMAN	SDHA
P21912	DHSB_HUMAN	SDHB
Q00796	DHSO_HUMAN	SORD
Q8NDZ4	DIA1_HUMAN	C3orf58
O60610	DIAP1_HUMAN	DIAPH1
Q9UBS4	DJB11_HUMAN	DNAJB11
P09622	DLDH_HUMAN	DLD
Q9NP97	DLRB1_HUMAN	DYNLRB1
Q9UGM3	DMBT1_HUMAN	DMBT1
Q6E0U4	DMKN_HUMAN	DMKN
P31689	DNJA1_HUMAN	DNAJA1
O60884	DNJA2_HUMAN	DNAJA2
O75190	DNJB6_HUMAN	DNAJB6
Q13217	DNJC3_HUMAN	DNAJC3
O00429	DNM1L_HUMAN	DNM1L
Q9ULA0	DNPEP_HUMAN	DNPEP
P49184	DNSL1_HUMAN	DNASE1L1
